"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"109","0.920662","1.5.1","host","USB","72","00001a0000000000","URB_INTERRUPT in"
"113","1.336664","1.5.1","host","USB","72","00000b0000000000","URB_INTERRUPT in"
"117","1.448649","1.5.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"121","1.520663","1.5.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"125","1.680652","1.5.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"129","1.792643","1.5.1","host","USB","72","0000070000000000","URB_INTERRUPT in"
"133","1.880654","1.5.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"135","1.968651","1.5.1","host","USB","72","0000122c00000000","URB_INTERRUPT in"
"137","1.976597","1.5.1","host","USB","72","0000002c00000000","URB_INTERRUPT in"
"141","2.480648","1.5.1","host","USB","72","00001c0000000000","URB_INTERRUPT in"
"145","2.592617","1.5.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"147","2.664645","1.5.1","host","USB","72","0000121800000000","URB_INTERRUPT in"
"149","2.712648","1.5.1","host","USB","72","0000001800000000","URB_INTERRUPT in"
"151","2.752643","1.5.1","host","USB","72","00002c1800000000","URB_INTERRUPT in"
"153","2.760653","1.5.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"157","2.960617","1.5.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"161","3.048589","1.5.1","host","USB","72","00000b0000000000","URB_INTERRUPT in"
"163","3.120644","1.5.1","host","USB","72","00000b0c00000000","URB_INTERRUPT in"
"165","3.128585","1.5.1","host","USB","72","0000000c00000000","URB_INTERRUPT in"
"167","3.232621","1.5.1","host","USB","72","0000110c00000000","URB_INTERRUPT in"
"169","3.256591","1.5.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"173","3.352639","1.5.1","host","USB","72","00000a0000000000","URB_INTERRUPT in"
"177","3.496594","1.5.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"181","4.240600","1.5.1","host","USB","72","00001c0000000000","URB_INTERRUPT in"
"183","4.344609","1.5.1","host","USB","72","00001c1200000000","URB_INTERRUPT in"
"185","4.352580","1.5.1","host","USB","72","0000001200000000","URB_INTERRUPT in"
"187","4.424634","1.5.1","host","USB","72","0000181200000000","URB_INTERRUPT in"
"189","4.488636","1.5.1","host","USB","72","0000180000000000","URB_INTERRUPT in"
"193","4.552627","1.5.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"197","4.720620","1.5.1","host","USB","72","00001a0000000000","URB_INTERRUPT in"
"201","4.848620","1.5.1","host","USB","72","00000c0000000000","URB_INTERRUPT in"
"205","5.008599","1.5.1","host","USB","72","00000f0000000000","URB_INTERRUPT in"
"209","5.128632","1.5.1","host","USB","72","00000f0000000000","URB_INTERRUPT in"
"213","5.240625","1.5.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"217","5.360627","1.5.1","host","USB","72","0000090000000000","URB_INTERRUPT in"
"219","5.424634","1.5.1","host","USB","72","0000090c00000000","URB_INTERRUPT in"
"221","5.432573","1.5.1","host","USB","72","0000000c00000000","URB_INTERRUPT in"
"223","5.496581","1.5.1","host","USB","72","0000110c00000000","URB_INTERRUPT in"
"225","5.544613","1.5.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"227","5.568620","1.5.1","host","USB","72","0000110700000000","URB_INTERRUPT in"
"229","5.592608","1.5.1","host","USB","72","0000000700000000","URB_INTERRUPT in"
"233","5.664590","1.5.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"237","6.472618","1.5.1","host","USB","72","00000b0000000000","URB_INTERRUPT in"
"241","6.568611","1.5.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"245","6.672616","1.5.1","host","USB","72","0000150000000000","URB_INTERRUPT in"
"247","6.720611","1.5.1","host","USB","72","0000150800000000","URB_INTERRUPT in"
"249","6.736579","1.5.1","host","USB","72","0000000800000000","URB_INTERRUPT in"
"253","6.960612","1.5.1","host","USB","72","2000000000000000","URB_INTERRUPT in"
"255","7.088621","1.5.1","host","USB","72","2000380000000000","URB_INTERRUPT in"
"257","7.200616","1.5.1","host","USB","72","2000000000000000","URB_INTERRUPT in"
"261","8.224607","1.5.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"265","8.368576","1.5.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"269","8.456605","1.5.1","host","USB","72","00000b0000000000","URB_INTERRUPT in"
"271","8.504578","1.5.1","host","USB","72","00000b0c00000000","URB_INTERRUPT in"
"273","8.544547","1.5.1","host","USB","72","0000000c00000000","URB_INTERRUPT in"
"275","8.568610","1.5.1","host","USB","72","0000160c00000000","URB_INTERRUPT in"
"277","8.608607","1.5.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"281","8.736587","1.5.1","host","USB","72","2000000000000000","URB_INTERRUPT in"
"283","8.840599","1.5.1","host","USB","72","2000380000000000","URB_INTERRUPT in"
"285","8.936560","1.5.1","host","USB","72","2000000000000000","URB_INTERRUPT in"
"289","9.120598","1.5.1","host","USB","72","00002c0000000000","URB_INTERRUPT in"
"293","9.352596","1.5.1","host","USB","72","0000060000000000","URB_INTERRUPT in"
"295","9.424589","1.5.1","host","USB","72","0000000400000000","URB_INTERRUPT in"
"297","9.464596","1.5.1","host","USB","72","0000160400000000","URB_INTERRUPT in"
"299","9.504543","1.5.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"303","9.896587","1.5.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"307","10.040590","1.5.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"309","10.104591","1.5.1","host","USB","72","0000001500000000","URB_INTERRUPT in"
"311","10.184567","1.5.1","host","USB","72","0000161500000000","URB_INTERRUPT in"
"313","10.192562","1.5.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"317","10.592588","1.5.1","host","USB","72","0000390000000000","URB_INTERRUPT in"
"323","10.800564","1.5.1","host","USB","72","0000060000000000","URB_INTERRUPT in"
"327","10.984580","1.5.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"331","11.120581","1.5.1","host","USB","72","0000090000000000","URB_INTERRUPT in"
"335","11.272585","1.5.1","host","USB","72","0000390000000000","URB_INTERRUPT in"
"341","11.768527","1.5.1","host","USB","72","2000000000000000","URB_INTERRUPT in"
"343","11.880579","1.5.1","host","USB","72","20002f0000000000","URB_INTERRUPT in"
"347","16.984544","1.5.1","host","USB","72","00001e0000000000","URB_INTERRUPT in"
"351","18.088533","1.5.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"355","20.576524","1.5.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"359","22.968472","1.5.1","host","USB","72","00000c0000000000","URB_INTERRUPT in"
"363","23.080493","1.5.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"367","23.560468","1.5.1","host","USB","72","00001a0000000000","URB_INTERRUPT in"
"371","23.680491","1.5.1","host","USB","72","00000b0000000000","URB_INTERRUPT in"
"375","23.768489","1.5.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"379","23.848470","1.5.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"383","24.256490","1.5.1","host","USB","72","00001c0000000000","URB_INTERRUPT in"
"387","24.392483","1.5.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"389","24.448456","1.5.1","host","USB","72","0000121800000000","URB_INTERRUPT in"
"391","24.488476","1.5.1","host","USB","72","0000001800000000","URB_INTERRUPT in"
"395","24.864480","1.5.1","host","USB","72","00001a0000000000","URB_INTERRUPT in"
"399","25.144458","1.5.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"403","25.352488","1.5.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"407","25.456472","1.5.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"411","29.264399","1.5.1","host","USB","72","2000000000000000","URB_INTERRUPT in"
"413","29.440421","1.5.1","host","USB","72","2000300000000000","URB_INTERRUPT in"
"415","29.496446","1.5.1","host","USB","72","2000000000000000","URB_INTERRUPT in"
